"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Nova Scotia / Nouvelle-…cosse,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",255,34997,41622,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",160,23004,27864,
"      523 Announcers and other performers, n.e.c.",265,24867,31585,
        5231 Announcers and other broadcasters,190,25594,31865,
"        5232 Other performers, n.e.c.",75,13310,30888,
      524 Creative designers and craftspersons,2085,20919,25702,
        5241 Graphic designers and illustrators,1045,28150,32135,
        5242 Interior designers and interior decorators,315,26762,29861,
"        5243 Theatre, fashion, exhibit and other creative designers",165,11403,18914,
        5244 Artisans and craftspersons,550,8075,13087,
"        5245 Patternmakers - textile, leather and fur products",10,0,0,
"      525 Athletes, coaches, referees and related occupations",3895,5711,12728,
        5251 Athletes,55,7608,19275,
        5252 Coaches,260,25146,39212,
        5253 Sports officials and referees,60,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",3515,5326,10315,
  6 Sales and service occupations,117960,16842,22308,
    62 Retail sales supervisors and specialized sales occupations,9305,35684,44934,
      621 Retail sales supervisors,1930,24550,29945,
        6211 Retail sales supervisors,1930,24550,29945,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,2805,43510,55197,
        6221 Technical sales specialists - wholesale trade,1635,59567,72491,
        6222 Retail and wholesale buyers,1170,25142,31037,
"      623 Insurance, real estate and financial sales occupations",4570,38646,44968,
        6231 Insurance agents and brokers,1735,40689,48583,
        6232 Real estate agents and salespersons,1225,24068,35256,
        6235 Financial sales representatives,1605,42695,48474,
    63 Service supervisors and specialized service occupations,15910,19921,23030,
      631 Service supervisors,2665,25934,30265,
        6311 Food service supervisors,1295,20595,22405,
        6312 Executive housekeepers,130,31685,31405,
"        6313 Accommodation, travel, tourism and related services supervisors",115,31209,33974,
        6314 Customer and information services supervisors,410,36965,41670,
        6315 Cleaning supervisors,280,37657,39181,
        6316 Other services supervisors,430,29264,35801,
      632 Chefs and cooks,7770,19423,23042,
        6321 Chefs,1190,29476,32007,
        6322 Cooks,6580,18099,21420,
      633 Butchers and bakers,1765,19372,20216,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",390,25066,24762,
        6332 Bakers,1375,17681,18938,
