"","occupation","employment","median.income","mean.income","geography"
"52040","        7316 Machine fitters","20","0","0","Sherbrooke"
"52159","        7318 Elevator constructors and mechanics","10","0","0","Sherbrooke"
"52242","      732 Automotive service technicians","1115","35626","36669","Sherbrooke"
"52340","        7321 Automotive service technicians, truck and bus mechanics and mechanical repairers","860","36611","37665","Sherbrooke"
"52440","        7322 Motor vehicle body repairers","255","33311","33318","Sherbrooke"
"52540","      733 Other mechanics and related repairers","365","39383","39783","Sherbrooke"
"52640","        7331 Oil and solid fuel heating mechanics","15","0","0","Sherbrooke"
"52740","        7332 Appliance servicers and repairers","55","32169","29970","Sherbrooke"
"52840","        7333 Electrical mechanics","230","43519","42196","Sherbrooke"
"52940","        7334 Motorcycle, all-terrain vehicle and other related mechanics","45","31778","37729","Sherbrooke"
"53040","        7335 Other small engine and small equipment repairers","15","0","0","Sherbrooke"
"53159","      736 Train crew operating occupations","10","0","0","Sherbrooke"
"53242","        7361 Railway and yard locomotive engineers","10","0","0","Sherbrooke"
"53340","        7362 Railway conductors and brakemen/women","0","0","0","Sherbrooke"
"53440","      737 Crane operators, drillers and blasters","80","50527","52734","Sherbrooke"
"53540","        7371 Crane operators","30","34801","48455","Sherbrooke"
"53640","        7372 Drillers and blasters - surface mining, quarrying and construction","40","68121","57769","Sherbrooke"
"53740","        7373 Water well drillers","10","0","0","Sherbrooke"
"53840","      738 Printing press operators and other trades and related occupations, n.e.c.","305","38071","40591","Sherbrooke"
"53940","        7381 Printing press operators","180","34228","34648","Sherbrooke"
"54040","        7384 Other trades and related occupations, n.e.c.","125","45475","49155","Sherbrooke"
"54159","    74 Other installers, repairers and servicers and material handlers","1080","29859","30755","Sherbrooke"
"54242","      744 Other installers, repairers and servicers","370","24557","28344","Sherbrooke"
"54340","        7441 Residential and commercial installers and servicers","220","24522","27423","Sherbrooke"
"54440","        7442 Waterworks and gas maintenance workers","15","0","0","Sherbrooke"
"54540","        7444 Pest controllers and fumigators","25","0","0","Sherbrooke"
"54640","        7445 Other repairers and servicers","115","20559","27714","Sherbrooke"
"54740","      745 Longshore workers and material handlers","710","31239","32021","Sherbrooke"
"54840","        7451 Longshore workers","0","0","0","Sherbrooke"
"54940","        7452 Material handlers","705","31264","32116","Sherbrooke"
"55040","    75 Transport and heavy equipment operation and related maintenance occupations","3465","32326","35016","Sherbrooke"
"55159","      751 Motor vehicle and transit drivers","2825","31415","34556","Sherbrooke"
"55242","        7511 Transport truck drivers","1280","41287","41547","Sherbrooke"
"55340","        7512 Bus drivers, subway operators and other transit operators","515","24653","34125","Sherbrooke"
"55440","        7513 Taxi and limousine drivers and chauffeurs","215","17537","19264","Sherbrooke"
"55540","        7514 Delivery and courier service drivers","815","24203","27935","Sherbrooke"
"55640","      752 Heavy equipment operators","515","40697","41117","Sherbrooke"
"55740","        7521 Heavy equipment operators (except crane)","360","45628","44695","Sherbrooke"
"55840","        7522 Public works maintenance equipment operators and related workers","155","37170","32957","Sherbrooke"
"55940","      753 Other transport equipment operators and related maintenance workers","130","16959","20530","Sherbrooke"
"56040","        7531 Railway yard and track maintenance workers","10","0","0","Sherbrooke"
"56159","        7532 Water transport deck and engine room crew","20","0","0","Sherbrooke"
"56242","        7533 Boat and cable ferry operators and related occupations","10","0","0","Sherbrooke"
"56340","        7534 Air transport ramp attendants","0","0","0","Sherbrooke"
"56440","        7535 Other automotive mechanical installers and servicers","95","16902","19275","Sherbrooke"
"56540","    76 Trades helpers, construction labourers and related occupations","1155","31922","33044","Sherbrooke"
"56640","      761 Trades helpers and labourers","795","27694","30109","Sherbrooke"
"56740","        7611 Construction trades helpers and labourers","755","27728","29704","Sherbrooke"
"56840","        7612 Other trades helpers and labourers","40","0","0","Sherbrooke"
"56940","      762 Public works and other labourers, n.e.c.","365","42109","39477","Sherbrooke"
"57040","        7621 Public works and maintenance labourers","295","43810","41628","Sherbrooke"
"57159","        7622 Railway and motor transport labourers","65","26620","30103","Sherbrooke"
"57242","  8 Natural resources, agriculture and related production occupations","1520","15720","20323","Sherbrooke"
"57340","    82 Supervisors and technical occupations in natural resources, agriculture and related production","190","28584","39890","Sherbrooke"
"57440","      821 Supervisors, logging and forestry","30","0","0","Sherbrooke"
"57540","        8211 Supervisors, logging and forestry","35","0","0","Sherbrooke"
"57640","      822 Contractors and supervisors, mining, oil and gas","20","0","0","Sherbrooke"
"57740","        8221 Supervisors, mining and quarrying","20","0","0","Sherbrooke"
"57840","        8222 Contractors and supervisors, oil and gas drilling and services","0","0","0","Sherbrooke"
"57940","      823 Underground miners, oil and gas drillers and related occupations","20","0","0","Sherbrooke"
"58040","        8231 Underground production and development miners","20","0","0","Sherbrooke"
"58159","        8232 Oil and gas well drillers, servicers, testers and related workers","0","0","0","Sherbrooke"
"58242","      824 Logging machinery operators","0","0","0","Sherbrooke"
"58340","        8241 Logging machinery operators","10","0","0","Sherbrooke"
"58440","      825 Contractors and supervisors, agriculture, horticulture and related operations and services","125","21852","29724","Sherbrooke"
"58540","        8252 Agricultural service contractors, farm supervisors and specialized livestock workers","35","0","0","Sherbrooke"
"58640","        8255 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","85","28600","33075","Sherbrooke"
"58740","      826 Fishing vessel masters and fishermen/women","0","0","0","Sherbrooke"
"58840","        8261 Fishing masters and officers","0","0","0","Sherbrooke"
"58940","        8262 Fishermen/women","0","0","0","Sherbrooke"
"59040","    84 Workers in natural resources, agriculture and related production","620","14479","18875","Sherbrooke"
"59159","      841 Mine service workers and operators in oil and gas drilling","25","0","50544","Sherbrooke"
"59242","        8411 Underground mine service and support workers","20","0","50544","Sherbrooke"
"59340","        8412 Oil and gas well drilling and related workers and services operators","0","0","0","Sherbrooke"
"59440","      842 Logging and forestry workers","90","17950","18359","Sherbrooke"
"59540","        8421 Chain saw and skidder operators","40","0","0","Sherbrooke"
"59640","        8422 Silviculture and forestry workers","45","17982","18072","Sherbrooke"
"59740","      843 Agriculture and horticulture workers","500","12833","17516","Sherbrooke"
"59840","        8431 General farm workers","390","13925","19437","Sherbrooke"
"59940","        8432 Nursery and greenhouse workers","110","8405","10829","Sherbrooke"
"60040","      844 Other workers in fishing and trapping and hunting occupations","10","0","0","Sherbrooke"
"60159","        8441 Fishing vessel deckhands","10","0","0","Sherbrooke"
"60242","        8442 Trappers and hunters","0","0","0","Sherbrooke"
"60340","    86 Harvesting, landscaping and natural resources labourers","710","15009","16225","Sherbrooke"
"60440","      861 Harvesting, landscaping and natural resources labourers","705","15009","16225","Sherbrooke"
"60540","        8611 Harvesting labourers","45","4044","8367","Sherbrooke"
"60640","        8612 Landscaping and grounds maintenance labourers","600","15653","16725","Sherbrooke"
"60740","        8613 Aquaculture and marine harvest labourers","0","0","0","Sherbrooke"
"60840","        8614 Mine labourers","0","0","0","Sherbrooke"
"60940","        8615 Oil and gas drilling, servicing and related labourers","15","0","0","Sherbrooke"
"61040","        8616 Logging and forestry labourers","45","15789","13984","Sherbrooke"
"61159","  9 Occupations in manufacturing and utilities","6495","31834","36324","Sherbrooke"
"61242","    92 Processing, manufacturing and utilities supervisors and central control operators","910","54967","59587","Sherbrooke"
"61340","      921 Supervisors, processing and manufacturing occupations","470","52326","58794","Sherbrooke"
"61440","        9211 Supervisors, mineral and metal processing","50","50890","61625","Sherbrooke"
"61540","        9212 Supervisors, petroleum, gas and chemical processing and utilities","45","70506","65731","Sherbrooke"
"61640","        9213 Supervisors, food and beverage processing","75","38675","42658","Sherbrooke"
